0	2.93173e-13
0.05	1.23195e-12
0.1	2.9106e-12
0.15	5.43094e-12
0.2	8.90268e-12
0.25	1.34439e-11
0.3	1.91813e-11
0.35	2.62509e-11
0.4	3.47984e-11
0.45	4.49795e-11
0.5	5.69608e-11
0.55	7.09196e-11
0.6	8.70453e-11
0.65	1.05539e-10
0.7	1.26616e-10
0.75	1.50502e-10
0.8	1.7744e-10
0.85	2.07685e-10
0.9	2.4151e-10
0.95	2.79201e-10
1	3.21061e-10
1.05	3.67413e-10
1.1	4.18595e-10
1.15	4.74965e-10
1.2	5.36901e-10
1.25	6.048e-10
1.3	6.79081e-10
1.35	7.60185e-10
1.4	8.48576e-10
1.45	9.44742e-10
1.5	1.04919e-09
1.55	1.16247e-09
1.6	1.28514e-09
1.65	1.41779e-09
1.7	1.56104e-09
1.75	1.71554e-09
1.8	1.88198e-09
1.85	2.06107e-09
1.9	2.25356e-09
1.95	2.46022e-09
2	2.68187e-09
2.05	2.91937e-09
2.1	3.17361e-09
2.15	3.44551e-09
2.2	3.73606e-09
2.25	4.04626e-09
2.3	4.37717e-09
2.35	4.72989e-09
2.4	5.10558e-09
2.45	5.50542e-09
2.5	5.93067e-09
2.55	6.38263e-09
2.6	6.86263e-09
2.65	7.3721e-09
2.7	7.91249e-09
2.75	8.48532e-09
2.8	9.09217e-09
2.85	9.73468e-09
2.9	1.04146e-08
2.95	1.11336e-08
3	1.18936e-08
3.05	1.26964e-08
3.1	1.35442e-08
3.15	1.44388e-08
3.2	1.53825e-08
3.25	1.63775e-08
3.3	1.74259e-08
3.35	1.85304e-08
3.4	1.96931e-08
3.45	2.09168e-08
3.5	2.22041e-08
3.55	2.35576e-08
3.6	2.49802e-08
3.65	2.64748e-08
3.7	2.80444e-08
3.75	2.96923e-08
3.8	3.14215e-08
3.85	3.32354e-08
3.9	3.51375e-08
3.95	3.71314e-08
4	3.92207e-08
4.05	4.14092e-08
4.1	4.37009e-08
4.15	4.60998e-08
4.2	4.86101e-08
4.25	5.12362e-08
4.3	5.39824e-08
4.35	5.68534e-08
4.4	5.98539e-08
4.45	6.29889e-08
4.5	6.62633e-08
4.55	6.96823e-08
4.6	7.32514e-08
4.65	7.6976e-08
4.7	8.08618e-08
4.75	8.49147e-08
4.8	8.91407e-08
4.85	9.35461e-08
4.9	9.81371e-08
4.95	1.0292e-07
5	1.07903e-07
5.05	1.13091e-07
5.1	1.18493e-07
5.15	1.24115e-07
5.2	1.29966e-07
5.25	1.36052e-07
5.3	1.42382e-07
5.35	1.48965e-07
5.4	1.55808e-07
5.45	1.62921e-07
5.5	1.70312e-07
5.55	1.77991e-07
5.6	1.85967e-07
5.65	1.94249e-07
5.7	2.02848e-07
5.75	2.11774e-07
5.8	2.21037e-07
5.85	2.30649e-07
5.9	2.4062e-07
5.95	2.50961e-07
6	2.61684e-07
6.05	2.72802e-07
6.1	2.84326e-07
6.15	2.96269e-07
6.2	3.08644e-07
6.25	3.21463e-07
6.3	3.34742e-07
